Company,Table,Machine_1,Machine_2,Machine_3
B. Ketterer Soehne GmbH & Co. KG,Aktiva,108414,156203,
A. & C. KOSIK GmbH,Unknown Table,3547791,3030092,
OPS-INGERSOLL Funkenerosion GmbH,AKTIVA,1162069,,
Jaecklin GmbH,AKTIVA,1458608,1533687,
DMG MORI Global Marketing GmbH,Aktiva,4162,5,
Carl Benzinger GmbH,Aktiva,111366,140433,
Pittler T & S GmbH,AKTIVA,319732,315353,
AUTOSPLICE Europe GmbH,AKTIVA,844820,904963,
Wemhoener Surface Technologies,AKTIVA,5090552,5437766,
Schuster Maschinenbau GmbH,Aktiva,788225,1063230,
Rhewum GmbH,"Auf die Angabe der Bezüge der Geschäftsführung wird - unter Berücksichtigung des §
            286 A",1112766,1301399,
KULLEN-KOTI GmbH,AKTIVA,1478335,1468587,
Horst Scholz GmbH & Co. KG,"Sonstige finanzielle Verpflichtungen, die nicht in der Bilanz auszuweisen
            und auch keine",383039,,
Messer Cutting Systems GmbH,Aktiva,1651,1778,
Danieli Germany GmbH,Aktiva,62354,84597,
Lebronze Alloys Germany GmbH,AKTIVA,4730767,3751296,
Muehlbauer Maschinenbau GmbH,Aktiva,1255175,206355,
ENTEX Rust & Mitschke GmbH,Aktiva,3142350,3314727,
Wolf Verpackungsmaschinen GmbH,Aktiva,126452,478123,
Sirch Behaeltertechnik GmbH,Aktiva,357982,384023,
Resch Maschinenbau GmbH,Aktiva,49809,100,
HAZEMAG & EPR GmbH,AKTIVA,241369,294419,
Felss Systems GmbH,AKTIVA,1104143,837,
Horn Glass Industries AG,Aktiva,2025465,1969976,
Hofmann Maschinen- und Anlagenbau GmbH,AKTIVA:,545034,816,
Suedstahl GmbH & Co. KG,Aktiva,1812906,1992465,
Albert Kerbl GmbH,AKTIVA,2534202,2329860,
METALOCK ENGINEERING GERMANY GMBH,AKTIVSEITE,940046,1187662,
VACUTEC,AKTIVA,3587425,4340075,
Buerener Maschinenfabrik GmbH,Aktiva,3170544,3093613,
Magnetbau Schramme GmbH & Co. KG,Aktiva,2592593,3766072,
Stahlkontor GmbH & Co KG,Aktiva,985402,1215603,
Gardner Denver Schopfheim GmbH,Aktiva,1291228,1273,
FLEX-Elektrowerkzeuge GmbH,Aktiva,1132887,1255576,
WELLAND & TUXHORN AG,AKTIVA,690051,830518,
CONCAD GmbH,Aktiva,61891,60032,
Philipp Hafner GmbH & Co. KG.,AKTIVA,654338,734,
Maschinenbau Dahme GmbH,Aktiva,2379001,1891068,
Robert Roentgen GmbH & Co. KG.,AKTIVA,6082392,7377261,
De Dietrich Process Systems GmbH,AKTIVA,679784,740872,
Neuhaus Neotec Maschinen- und Anlagenbau GmbH,,2,98903,101737
Schwegler Werkzeugfabrik GmbH & Co. KG,Aktiva,258476,185300,
KOeBO GmbH & Co. KG,AKTIVA,80417,105426,
Burkhardt+Weber,Aktiva,1049602,1290,
HEBENSTREIT GmbH,AKTIVA,3400089,3964064,
Vulcast Germany GmbH,AKTIVA,1007706,1257355,
BRUGG Rohrsysteme GmbH,Aktiva,3691102,4383198,
FELO-Werkzeugfabrik GmbH,Aktiva,1579089,1216529,
BREITNER GmbH & Co. KG,Aktiva,679079,35400,
Heidenreich & Harbeck GmbH,Aktiva,2843157,3120763,
Meusburger Deutschland GmbH,Aktiva,1407138,1550502,
TRUMPF Werkzeugmaschinen Teningen GmbH,Aktiva,561874,781,
Theodor Winkels GmbH & Co. KG,Aktiva,303852,394924,
FAUDI GmbH,"Die Geschäftsjahresabschreibung je Posten der Bilanz ist aus dem Anlagenspiegel zu
            entne",1648274,793,1649068
Heinzler Maschinenbau GmbH,Aktiva,3054474,3844852,
Transnova RUF,Aktiva,585400,321872,
COLLIN Lab & Pilot Solutions GmbH,Aktiva,3343485,4262440,
Dossmann GmbH,Aktiva,2678708,2731024,
Guenter Effgen GmbH,Aktiva,2411494,1999310,
voxeljet AG,Aktiva,4333054,4504770,
Josef Kraenzle GmbH & Co.KG,Aktiva,1735587,463302,
Boehm Fertigungstechnik Suhl GmbH,AKTIVA,1724071,2107041,
HYFRA Industriekuehlanlagen GmbH,Aktiva,265190,307411,
Chr. Hoever & Sohn GmbH & Co. KG,Aktiva,857748,1251788,
Auerhammer Metallwerk GmbH,AKTIVSEITE,4029804,3528405,
Gesellschaft fuer Oeltechnik mbH,AKTIVA,395701,517,
DIOSNA Dierks & Soehne GmbH,Aktiva,1371928,1253848,
SOLO Kleinmotoren GmbH,Aktiva,53298,71684,
PPM-Aberle GmbH & Co KG,Aktiva,3568692,2301163,
AVS Aggregatebau GmbH,Aktiva,23499,1,
WEMA Vogtland Technology GmbH,Aktiva,167257,263119,
KUNZMANN Maschinenbau GmbH,Aktiva,433045,487,
HAMMEL Recyclingtechnik GmbH,AKTIVA,507061,477733,
Metso Outotec Germany GmbH,Aktiva,871044,922291,
NMH GmbH,Aktiva,2290091,1399201,
MATO GmbH & Co KG,Aktiva,1558023,1370386,
R. Scheuchl GmbH,Aktiva,1465400,1166343,
Heino Ilsemann GmbH,Aktivseite,30701,35356,
Braun Sondermaschinen GmbH,AKTIVA,1156302,1006829,
NORDSON Deutschland GmbH,Aktiva,578416,406525,
Howden Turbowerke GmbH,Aktiva,842989,994,
Flanschenwerk Bebitz GmbH,Aktiva,308452,683794,
isel Germany AG,Aktiva,263302,296439,
Filigran Traegersysteme GmbH & Co. KG,AKTIVA,3057633,3317,
ERMAFA Sondermaschinen- und Anlagenbau GmbH,Aktiva,3114301,1985412,
Franz Toelke GmbH,AKTIVA,1566070,1372077,
Maschinenfabrik Bermatingen GmbH andCo.KG,Aktiva,2043098,2215215,
Melzer Maschinenbau GmbH,Aktiva,31301,36019,
DREISTERN GmbH & Co. KG,AKTIVA,1348730,1718272,
Carl KRAFFT & Soehne GmbH & Co. KG,Unknown Table,1704482,1437789,
EMERSON Technologies GmbH & Co. OHG,Aktiva,174866,252023,
Stephan Machinery GmbH,AKTIVA,59972,45,
Kompressorenbau Bannewitz GmbH,Aktiva,4831780,5473365,
Wittmann Battenfeld Deutschland GmbH,AKTIVA,508041,682332,
MAKA Systems GmbH,AKTIVA,5658,7209,
Modell Technik Formenbau GmbH,AKTIVA,3013673,3855,
PEINER SMAG Lifting Technologies GmbH,Aktiva,590395,774,
REFORM Grinding Technology GmbH,AKTIVA,1516,1748,
Maschinenbau Lienenbruegger GmbH,Aktiva,357913,391012,
Weisskopf Werkzeuge GmbH,Aktiva,2527258,3149821,
MetallArt GmbH,Aktiva,1177625,939673,
voestalpine Wire Germany GmbH,AKTIVA,3791672,4014750,
Ring Maschinenbau GmbH,AKTIVA,2148383,2618,
TAMPOPRINT GmbH,AKTIVA,1883321,2744544,
ZPM Zeulenroda Praezision,Aktiva,5954806,7348197,
Caisley International GmbH,Aktiva,2419495,1953403,
Helmut Diebold GmbH & Co.,Aktiva,1098861,1405749,
Maschinenbau Silberhorn GmbH,Aktiva,177960,246105,
Manfred Albrecht GmbH,AKTIVA,893500,1049,
KLN Ultraschall AG,Aktiva,111629,131613,
Klaus Baier Werkzeugbau und Stanztechnik,Aktiva,1142940,495085,
ThermoTex Nagel GmbH,Aktivseite,765231,616886,
Nosta GmbH,Aktiva,1759093,1603210,
EWM AG,AKTIVA,174193,74994,
LAWECO Maschinen- und Apparatebau GmbH,AKTIVA,500926,579268,
DESCH Antriebstechnik GmbH & Co. KG,AKTIVA,1522009,1050085,
LISSMAC Maschinenbau GmbH,AKTIVSEITE,860727,1150786,
bullmer GmbH,Aktiva,117941,148785,
KARL SCHNELL GmbH & Co. KG,AKTIVA,2630352,1102,
Laetus GmbH,Aktiva,333489,476406,
Herbold Meckesheim GmbH,Aktiva,631352,611040,
Meeraner Dampfkesselbau GmbH,Aktiva,886527,982274,
MAP Maschinen- & Apparatebau,Aktiva,4810644,4304897,
Saar-Hartmetall und Werkzeuge GmbH,Aktiva,460649,466528,
Fecken-Kirfel GmbH & Co. KG,AKTIVA,2003135,2392651,
EZM Edelstahlzieherei Mark GmbH,AKTIVA,4318817,4072481,
ARKU Maschinenbau GmbH,AKTIVSEITE,2335019,2352776,
Haller Industriebau GmbH,AKTIVA,53724,65243,
Meypack Verpackungssystemtechnik GmbH,AKTIVA,15860,18868,
Sprimag Spritzmaschinenbau GmbH & Co. KG,Aktiva,861386,1146715,
wolfcraft GmbH,B.5.  Vermögenslage,1882671,1648529,
Otto Martin,Erläuterungen gemäß § 327 HGB,1004333,1061787,
R+R Maschinenbau GmbH,AKTIVA,141278,163220,
PLAMAG GmbH,A K T I V A,300989,542919,
Deharde GmbH,AKTIVSEITE,1727657,2651,
Schwarze-Robitec GmbH,AKTIVA,470479,603,
Dietze & Schell Maschinenfabrik,Aktiva,708095,1139973,
OptoTech Optikmaschinen GmbH,Aktiva,1129349,1511452,
Julius Schuele Druckguss GmbH,AKTIVSEITE:,5945338,1731362,
Metallwerk Sundern,Aktiva,1651345,1934966,
Baldwin Technology GmbH,Aktiva,28089,32248,
Ostseestaal GmbH & Co. KG,"Für das Jahr 2022 plant das Unternehmen mit einem Ergebnis über dem Niveau des Jahres
            20",1252684,1458921,
Wassermann Technologie GmbH,Aktiva,252069,385551,
Dipl.-Ing. Herwarth Reich GmbH,Aktiva,1252169,1441,
Modellbau Schoenheide GmbH,Aktiva,3108114,2915,
DAMBACH Lagersysteme GmbH & Co. KG,AKTIVA,198242,198747,
atg Luther & Maelzer GmbH,Aktiva,92143,107455,
Inovatools Eckerle & Ertel GmbH,Aktiva,4524844,4993947,
Agathon GmbH & Co.KG,Aktiva,2982542,2547139,
MOTORTECH GmbH,Bestand an Mitarbeitern zum Bilanzstichtag,632889,219051,
FMB Maschinenbaugesellschaft mbH & Co.KG,A K T I V A,885883,1023407,
Steeltec GmbH,Aktiva,11541379,11960,
HOeRBURGER AG,Aktiva,307585,375987,
Herbert Maschinenbau GmbH & Co. KG,Aktiva,3733457,1586111,
Ruwac Industriesauger GmbH,AKTIVA,772093,615,
Zecha Hartmetallwerkzeugfabrikation GmbH,Aktiva,1183415,30803,
