company name,location
WEFOMA Werkzeug- u. Formenbau GmbH,Bietigheim-Bissingen
Manfred Albrecht GmbH,Solingen
Weisser-Bärwinkel GmbH,Maulburg
BK Stanz- und Umformtechnik GmbH,Tholey
HKR Werkzeugtechnik GmbH,Spraitbach
Christian Karl Siebenwurst,Dietfurt an der Altmühl
Berthold Kunrath GmbH,Tholey
Haselbeck Formen- u. Werkzeugbau GmbH,Deggendorf
Spilker GmbH,Leopoldshöhe
Spinner Werkzeugmaschinenfabrik GmbH,Sauerlach
S & S Werkzeugbau GmbH,Schlitz
Dätwyler Sealing Solutions,Cleebronn
Maucher Formenbau GmbH & Co. KG,Meckenbeuren
WOLF Werkzeugtechnologie GmbH,Bruchmühlbach-Miesau
PS Werkzeuge Vorrichtungen,Redwitz a.d.Rodach
Schweiger tooling GmbH,Uffing am Staffelsee
Paul Hafner GmbH Werkzeugbau,Wellendingen
Krause Präzisions-Kokillenguss GmbH,Pappenheim
SUMMERER Technologies GmbH & Co. KG,Schechen
EWM AG,Mündersbach
Ernst Hombach GmbH & Co. KG,Uehlfeld
FRIMA GmbH & Co. KG,Emden
TROB Tröstler & Oberbauer GmbH,Rohrbach
MHT Mold & Hotrunner Technology AG,Hochheim am Main
Hirschmann Automotive Freyung GmbH,Freyung
PETA - Formenbau GmbH,Bad Soden-Salmünster
AKO - Kunststoffe Alfred Kolb GmbH,Sinsheim
Modell Technik Formenbau GmbH,Sömmerda
REMS GmbH & Co KG,Waiblingen
Modell- und Formenbau Blasius Gerg GmbH,Tuntenhausen
WKW Verwaltung GmbH,Velbert
H & T Tool Design GmbH & Co. KG,Marsberg
Maus GmbH Modell- und Formenbau,Karlsruhe
EWS Weigele GmbH & Co. KG,Uhingen
Modellbau Schönheide GmbH,Schönheide
Bharat Forge Daun GmbH,Daun
CERATIZIT Deutschland GmbH,Empfingen
PWF Präzisionswerkzeugfabriken GmbH,Glinde
H. Steinhardt GmbH Dienstleister,Schweinfurt
Müller Modell- und Formenbau,Biedenkopf
UBC Composites GmbH,Murr
Zetterer Präzision GmbH,Roth
MWS Schneidwerkzeuge GmbH & Co KG,Schmalkalden
Krämer + Grebe GmbH & Co. KG Modellbau,Biedenkopf
KOMET Deutschland GmbH,Besigheim
Siebenwurst Werkzeugbau GmbH,Zwickau
Siegfried Hofmann GmbH,Lichtenfels
Starrag GmbH,Chemnitz
Preßwerkzeugbau Großdubrau GmbH,Großdubrau
Lorch Schweißtechnik GmbH,Auenwald
Bilz Werkzeugfabrik GmbH & Co. KG,Ostfildern
PSM Protech GmbH & Co. KG,Marktschellenberg
MEBA-Metall- Bandsägemaschinen GmbH,Westerheim
WKFS Werkzeug-Komponenten-Fertigung,Wilkau-Haßlau
TRIBO Hartstoff GmbH,Barchfeld-Immelborn
C. & E. FEIN GmbH,Schwäbisch Gmünd
WAGNER Tooling Systems Baublies GmbH,Pliezhausen
Amberger Werkzeugbau GmbH,Sulzbach-Rosenberg
WTE Präzisionstechnik GmbH,Ehrenfriedersdorf
A-FORM AG,Annaberg-Buchholz
SCHEUERMANN + HEILIG GmbH,Buchen (Odenwald)
Dienes Werke für Maschinenteile,Overath
DESTACO Europe GmbH,Oberursel (Taunus)
SD Automotive GmbH,Georgsmarienhütte
Seco Tools GmbH,Erkrath
REHM GmbH u. Co. KG Schweißtechnik,Uhingen
Frielinghaus GmbH,Ennepetal
WOMA GmbH,Duisburg
Jongen Werkzeugtechnik GmbH,Willich
INGERSOLL Werkzeuge GmbH,Haiger
ISCAR Germany GmbH,Ettlingen
VULKAN INOX GmbH,Hattingen
Herkules Hebetechnik GmbH,Kassel
HYWEMA Josef Schwahlen GmbH & Co. KG,Solingen
Kingeter GmbH Werkzeugbau,Heiningen
Neuhäuser Präzisionswerkzeuge GmbH,Prüm
Postel Druckguß GmbH,Köln
Eugen Drohmann GmbH easycut,Lorch
AKS Hartmetalltechnik GmbH,Schwäbisch Gmünd
ARNTZ GmbH + Co. KG,Remscheid
Werkzeugbau + Kunststoffverarbeitung,Halver
Fischer System-Mechanik GmbH,Durchhausen
G. Lang GmbH & Co. KG,St. Ingbert
HILMA-RÖMHELD GmbH,Wilnsdorf
Kremann und Esser GmbH & Co. KG,Kierspe
Lüsebrink & Teubner GmbH & Co. KG,Plettenberg
Theleico Schleiftechnik GmbH & Co. KG,Meschede
Schlenker Spannwerkzeuge GmbH & Co. KG,Villingen-Schwenningen
Wirtz Werkzeugbau GmbH,Krefeld
Daigler Kunststofftechnik GmbH,Trochtelfingen
Josef Weischer GmbH & Co. KG,Emsdetten
OPUS GmbH,Schönau
Wolpert Holding GmbH,Bretzfeld
SCHAUFLER Tooling GmbH & Co. KG,Laichingen
Stefan Pfaff -,Röthenbach (Allgäu)
Tillmann Werkzeugbau Profiltechnik GmbH,Arnsberg
Riemke Tools GmbH,Lebach
Werkzeugbau Meindl GmbH,Bergen
3 D - Technik Zehmeister GmbH,Roßtal
"Klaus Backes GmbH,",Bruchmühlbach-Miesau
Wilke Werkzeugbau GmbH,Wuppertal
Joh. Jean Weiler Werkzeugbau,Zirndorf
Jonas Werkzeugbau Stanzerei GmbH,Telgte
HEINRICHS GmbH & Co. KG,Lennestadt
WEDO Präzisionstechnik GmbH,Ulm
Romer GmbH,Dauchingen
Egon Großhaus GmbH & Co. KG,Lennestadt
Wirth Werkzeugbau GmbH,Helmbrechts
Claus Bender Werkzeugbau GmbH & Co. KG,Aßlar
Berger + Hermann GmbH & Co. KG,Stuttgart
Kurt Betz GmbH,Leingarten
voxeljet AG,Friedberg
Peiseler GmbH & Co. KG,Remscheid
Metallguß Seifert GmbH,Westerburg
SANKYO Oilless Industry GmbH,Hilden
Grimmer GmbH,Lisberg
Kindtner Kunststofftechnik GmbH,Künzelsau
WEBO Werkzeugbau Oberschwaben GmbH,Amtzell
POLY-TOOLS bennewart GmbH,Donsieders
Hack Formenbau GmbH;,Kirchheim unter Teck
S. Müller GmbH & Co. Werkzeugbau KG.,Neunkirchen-Seelscheid
Roth Werkzeugbau GmbH,Auma-Weidatal
Schneider Form GmbH,Dettingen unter Teck
Eckerle GmbH,Beilngries
Labermeyer & Hamberger GmbH & Co. KG,Ingolstadt
Kaiser Werkzeugbau GmbH,Helferskirchen
HERU Werkzeugbau GmbH & Co. KG,Lennestadt
FROMM Präzision GmbH & Co. KG,Sitzendorf
Werkzeugbau Ruhla GmbH,Seebach
Emil Arnold GmbH & Co.,Ostfildern
Oesterle Formenbau Züttlingen GmbH & Co. KG,Urbach (Remstal)
Werkzeugbau Winkelmühle GmbH,Klingenberg
Paul Brüser GmbH,Finnentrop
WELLGO Gerätetechnik GmbH,Nohfelden
Formconsult Werkzeugbau GmbH,Schmalkalden
Mädel-Metall Inhaber Jürgen Mädel e.K.,Neustadt an der Orla
pro forma - Leistungen,Radeburg
WeTec GmbH,Schweppenhausen
Wink Stanzwerkzeuge GmbH & Co. KG,Neuenhaus
Wissler & Rademacher GmbH & Co. KG,Velbert
BMI Technical Services GmbH,Oberursel (Taunus)
Metall- und Kunststofftechnik,Barchfeld-Immelborn
JHM GmbH,Jockgrim
M + W Maschinen- und Werkzeugbau GmbH,Dortmund
TriWeFo Tridelta,Hermsdorf
Pfarr - Stanztechnik GmbH,Buttlar
LINATEC GmbH,Königs Wusterhausen
Wohlhaupter GmbH,Frickenhausen
Friedrich Henkel Feinmechanik KG,Rodgau
Burkhard GmbH,Mühldorf a. Inn
FWE - Formen- und Werkzeugbau,Eslarn
ROBUR Prototyping & Materials GmbH,Chemnitz
ITH Technik GmbH,Hilter am Teutoburger Wald
VMR GmbH & Co. KG,Mönchweiler
FORMTECH Werkzeug- und Formenbau GmbH,Niederwinkling
Vogel & Heppner GmbH,Lichtenfels
Borkott GmbH,Solingen
H. Horst Hähl,Dußlingen
Beiter GmbH & Co. KG,Sigmaringendorf
GF Meco Eckel GmbH & Co. KG,Biedenkopf
Modellbau Treiber GmbH,Maroldsweisach
H. Hahn Modell-,Sontra
SWK Innovations GmbH & Co. KG,Lübbenau
hapema GmbH,Engelsbrand
Ehrlich Werkzeug- und Gerätebau GmbH,Königstein
Heck & Becker GmbH & Co. KG,Dautphetal
Zeltwanger Maschinenbau GmbH,Tübingen
Johann Breier GmbH,Eppelborn
Ernst Rehfuß Werkzeugbau GmbH,Balingen
ERWIN WEIDELE GMBH,Sauldorf
Reuth GmbH,Großmaischeid
Weinmüller Formen- und Werkzeugbau GmbH,Ludwigsburg
Schäfer GmbH & Co. KG,Osnabrück
Stolz & Seng,Donaueschingen
Gebrüder Geisler GmbH,Berlin
Zimmermann Formenbau GmbH,Gladenbach
Brinkmann Formenbau GmbH,Steinfeld (Oldenburg)
Franz Banke GmbH,Isen
WVB Werkzeug- und Vorrichtungsbau,Gersheim
