company name,location
ESKA Automotive GmbH,Chemnitz
Bäringhaus & Hunger GmbH,Grünhainichen
Hunger GmbH & Co,Frankenberg/Sachsen
U-Shin Deutschland GmbH,Erdweg
Kasai (Germany) GmbH,Wolfsburg
ROWA Friedrich Rothmund GmbH & Co. KG,Aalen
Linamar Antriebstechnik GmbH,Crimmitschau
Dr. Freist Automotive GmbH,Goslar
Wilhelm Kächele GmbH,Weilheim an der Teck
Eissmann Automotive Deutschland GmbH,Bad Urach
Georg Fritzmeier - GmbH & Co. KG,Aying
J.H. Ziegler GmbH,Achern
Grüner Systemtechnik GmbH & Co. KG,Bad Überkingen
plastic concept gmbh,Neusalza-Spremberg
SumiRiko AVS Germany GmbH,Steinau an der Straße
Magna BÖCO GmbH,Wuppertal
Carl Wilhelm Cleff GmbH & Co. KG,Wuppertal
Feinmetall GmbH,Herrenberg
Keune & Lauber GmbH,Bad Berleburg
Magna Car Top Systems GmbH,Bietigheim-Bissingen
NTN Wälzlager (Europa) GmbH,Erkrath
NTN Antriebstechnik GmbH,Gardelegen
INTAX Innovative Fahrzeuglösungen GmbH,Oldenburg (Oldenburg)
Yazaki Europe Limited,Köln
JFK Rings GmbH,Gera
Klafky GmbH & Co. KG,Villingen-Schwenningen
Polymer-Technik Elbe GmbH,Lutherstadt Wittenberg
JOYSONQUIN Automotive Systems GmbH,Rutesheim
Sand Profile GmbH,Stockstadt am Main
FWB Kunststofftechnik GmbH,Pirmasens
Yanfeng International Automotive,Neuss
BBS GmbH,Schiltach
ISOLITE GmbH,Ludwigshafen am Rhein
FEW Fahrzeugelektrik Werk GmbH & Co. KG,Zwenkau
WEBER GmbH,Aschaffenburg
Koller Formenbau GmbH,Dietfurt an der Altmühl
Farmingtons Automotive GmbH,Georgsmarienhütte
Gates GmbH,Aachen
Hubert Schlieckmann GmbH,Harsewinkel OT Marienfeld
Thomas Magnete GmbH,Herdorf
PM Automotive GmbH,Wilkau-Haßlau
NIDEC MOTORS & ACTUATORS,Bietigheim-Bissingen
R+W Antriebselemente GmbH,Wörth am Main
