company name,location
Mannesmannröhren-Werk GmbH,Zeithain
TUBE-TEC Rohrverformungstechnik GmbH,Nistertal
Bartz-Werke GmbH,Dillingen
Ernst Möschle Behälterbau GmbH,Ortenberg
Wilhelm Schulte-Wiese,Plettenberg
Busch + Kunz GmbH & Co. KG,Burbach
Lenz Kämper GmbH & Co. KG,Lüdenscheid
MetallArt GmbH,Salach
Metallwerk Sundern,Sundern (Sauerland)
WICKEDER PROFILE WALZWERK GmbH,Wickede (Ruhr)
Husemann & Hücking Profile GmbH,Iserlohn
Dorstener Drahtwerke,Dorsten
WDM Deutenberg GmbH,Groß Pankow OT Wolfshagen
Carl Stahl GmbH,Süßen
Gesenkschmiede Schneider GmbH,Aalen
Saarschmiede GmbH Freiformschmiede,Völklingen
Salzgitter Mannesmann Stahlservice GmbH,Karlsruhe
Fr. u. H. Lüling GmbH & Co. KG,Altena
Edelstahlwerk W. Ossenberg & Cie GmbH,Altena
MK Metallfolien GmbH,Hagen
Gienanth GmbH,Eisenberg (Pfalz)
Gustav Wolf GmbH,Gütersloh
MSW Moselstahlwerk GmbH,Trier
AVIT-Hochdruck Rohrtechnik GmbH,Essen
HBS Hessische Bewehrungsstahl GmbH,Hattersheim am Main
Metallwerk Dinslaken GmbH & Co KG,Dinslaken
THÖNE Metallwaren GmbH & Co. KG,Salzkotten
Seppeler Gitterroste GmbH & Co. KG,Gütersloh
Jürgens Gießerei GmbH & Co. KG,Emsdetten
Drahtwerk Elisental,Neuenrade
WGM Winter Gerätebau,Coswig (Anhalt)
StrikoWestofen GmbH,Wiehl
Friedrich Wolfarth GmbH & Co. KG,Weikersheim
Zucker Edelstahlschmiede GmbH,Wolpertshausen
J. N. Eberle & Cie GmbH,Augsburg
Dillinger Fabrik,Dillingen
TITAL GmbH,Bestwig
Brück GmbH,Saarbrücken
CASAR Drahtseilwerk Saar GmbH,Kirkel
SAINT-GOBAIN PAM Deutschland GmbH,Saarbrücken
Heuschkel Druckguß GmbH,Nürnberg
Nosta GmbH,Höchstädt a.d.Donau
Dörrenberg Edelstahl GmbH,Engelskirchen
Eisenwerk Arnstadt GmbH,Arnstadt
Ostseestaal GmbH & Co. KG,Stralsund
VAUTID GmbH,Ostfildern
DGH Heidenau GmbH & Co. KG,Dohna
TRIDELTA Hartferrite GmbH,Hermsdorf
Metallguß Sulingen GmbH,Sulingen
Fröndenberger Drahtwerk GmbH,Fröndenberg/Ruhr
