company name
Landis + Gyr GmbH
Wera Werkzeuge GmbH
Robert Bosch Lollar Guss GmbH
Stanz- und Biegetechnik
"LUBING" Maschinenfabrik Ludwig Bening
Water & Wastewater Technic WWT GmbH
ABERLE Stahlguss GmbH
Glaswerke Wolff + Meier GmbH & Co. KG
Walter Götz GmbH
ditec Dichtungstechnik GmbH
Nikon Precision Europe GmbH
Walraven GmbH
TLT-Turbo GmbH
FAUDI Aviation GmbH
Stryker GmbH & Co. KG
ABEL GmbH
Ammann Elba Beton GmbH
Ammann Asphalt GmbH
Profex Kunststoffe GmbH
Spinnerei Lampertsmühle GmbH
Ahlborn Meß- und Regelungstechnik GmbH
Jaeckel Modell- und Formenbau GmbH
ABO Wind AG
Promedia A. Ahnfeldt GmbH
DREHTAINER GmbH
Mannstaedt GmbH
Solida Safety Line GmbH
ACUS Textiles GmbH
Aicher Präzisionstechnik GmbH & Co. KG
Erich Ulrich GmbH & Co. KG
GEALAN Fenster-Systeme GmbH
Ambulanz Mobile GmbH & Co. KG
Manfred Merklinger
Albrecht Präzision KG
Photon AG
Mouldtec Kunststoff - GmbH
LISA Laser Products GmbH
PTW-Freiburg Physikalisch- Technische
DST Defence Service Tracks GmbH
Vollenda-Werk GmbH
Veolia Water Technologies
Altendorfer Kunststofftechnik GmbH
Akiem Technik GmbH
A. & C. KOSIK GmbH
A. MANNESMANN MASCHINENFABRIK GmbH
Hüppe GmbH
RF Plast GmbH
Sanetta
Indorama Ventures Polymers Germany GmbH
LAYERTEC GmbH
KWL Blechverarbeitungs GmbH
National Instruments Germany GmbH
Nordmeyer SMAG Mining & Drilling
TOGU GmbH
Aluminium GmbH Nachrodt
SFC KOENIG GmbH
iba AG
K. Schulten GmbH & Co. KG
Hugo MIEBACH GmbH
ante-holz GmbH
Becorit GmbH
Rolf Körner GmbH
H.I.T. Maschinenbau GmbH + Co. KG
Maschinenbau Karp GmbH
Country Line Trachtenmoden GmbH
Apeltrath & Rundt GmbH
ETG ELASTOMER-TECHNIK GEDERN GmbH
APPEL GmbH
Evident Technology Center Europe GmbH
Profilator GmbH & Co. KG
Heinz Arens GmbH
Dr. Walter Ostermann DOB
HAPPICH Herrstein GmbH
Richard Neumayer GmbH
Armbruster GmbH
ConvaTec (Germany) GmbH
Armstark Handels-GmbH
Joyson Safety Systems Aschaffenburg GmbH
Heinz Arnhold GmbH
a.i.m. all in metal GmbH
Eugen Arnold GmbH.
ABI Maschinenfabrik und
AWS Fertigungstechnik GmbH
Badischer Glashandel Karl Arnoldt GmbH &
e:fs TechHub GmbH
UTT Technische Textilien GmbH & Co KG
MESSRING GmbH
Klotz + Wedekind Karosserie-
Schneider Steuerungstechnik GmbH
PN Detector GmbH
Mahr Unipre GmbH
Leiße & Söhne GmbH u. Co. KG
JA-Gastechnology GmbH
OLIVA GmbH Fenster und Türen
ASSMANN GmbH
ABP Induction Systems GmbH
Schleswiger Tauwerkfabrik
VERMOP Salmon GmbH
Erwin Auerhammer GmbH
AMOVA GmbH
UW Pensions GmbH
Bauer-Walser AG
W.H. Augenstein GmbH
DMT Drehmaschinen GmbH & Co. KG
indurad GmbH
ASB Grünland Helmut Aurenz GmbH
Gebrüder Aurich GmbH
SPS electronic GmbH
KYOCERA AVX Components (Werne) GmbH
Motoren Baader
DIEWE GmbH
Sapio Life GmbH & Co. KG
Wetzel GmbH
H-O-T Härte-und Oberflächentechnik
MPT Präzisionsteile GmbH Mittweida
Karl Wagenaar GmbH & Co. KG
Curetis N.V.
Bacher GmbH Metallverarbeitung
Haweka Aktiengesellschaft
Gebr. Märklin & Cie. GmbH
CEROBEAR GmbH
Mack & Schneider GmbH
DG Flugzeugbau GmbH
HAAS Schleifmaschinen GmbH
Heimberger GmbH
MWB Fahrzeugtechnik GmbH
Johann Hoefer & Sohn GmbH. & Co. KG.
Röltgen GmbH & Co. KG
Wendt & Kühn KG
Schimmel Filtertechnik GmbH & Co. KG
ttp Papenburg GmbH
Maier Sports GmbH
Hagedorn Plastirol Deutschland GmbH
ADGA - Adolf Gampper GmbH
Modul Technik GmbH
RS-Technik CAD-CAM GmbH
ROTA Verpackungstechnik GmbH & Co. KG
Murtfeldt Kunststoffe GmbH & Co. KG
AMS Arneburger
W. Bälz & Sohn GmbH & Co.
Hüster GmbH
microSYST Systemelectronic GmbH
Bansbach easylift GmbH
HAAS Kabeltechnik AG
SMARTRAC Specialty GmbH
Ammeraal Beltech GmbH
SCAN MODUL ORGASYSTEM GMBH
Barkey GmbH & Co. KG
THALETEC GmbH
Kärcher Futuretech GmbH
Heckmann Maschinenbau
Agathon GmbH & Co. KG
WALTERWERK KIEL GmbH & Co. KG
Bühler Alzenau GmbH
GOES GmbH
Gerhard van Clewe GmbH & Co KG
WKM Medizintechnik GmbH
JOTEC GmbH
Nürmont Installations GmbH & Co. KG
Albert Kerbl GmbH
Esser-Werke GmbH & Co. KG
Koralle Sanitärprodukte GmbH
GLASVERARBEITUNGS-GESELLSCHAFT
GEA Farm Technologies GmbH
Centa-Antriebe Kirschey GmbH
Cytiva Europe GmbH
Alfred Jäger GmbH
Curt Bauer GmbH
Lugina Schuhfabrik GmbH
SCHROEDER + BAUER Werkzeugbau
Precitec GmbH & Co. KG
ZMB BRAUN GmbH
JELBA Werkzeug- und Maschinenbau
Cohline GmbH Schlauchleitungssysteme
Wilhelm Bauer GmbH & Co. KG
Volocopter GmbH
Wilhelm Weber GmbH & Co. KG
Bauer Fashion GmbH
Franz Josef Bauer GmbH Meßwerkzeuge.
NOXON Automation GmbH + Co. KG
Baumann Maschinenbau
Luft- und Thermotechnik Bayreuth GmbH
DOT GmbH
GEO Produkte GmbH
Andreas Schmitzer GmbH
Gerresheimer Bünde GmbH
Holz-Her GmbH
Sebald Iso-Systeme GmbH & Co. KG
baumhueter extrusion GmbH
BOFA-Doublet GmbH
Hanns Glass GmbH & Co. KG
Holzwerk Baur GmbH
Wenglor sensoric
Jacob Emendoerfer
Christian Diener GmbH
AP & S International GmbH
BAUSCH Germany GmbH
S & S Electronic GmbH
BAUSSMANN
Banner Batterien Deutschland GmbH
Garanta Steppdeckenfabrik Christian
Werner Bayer GmbH Maschinenfabrik
MEKU Kunststoff Technologie GmbH
Wabtec Transportation GmbH
odelo GmbH
PHILIPP BAZLEN GMBH
Tecan Deutschland GmbH
Theo Bechtold GmbH & Co KG.
erima GmbH
b + b Automations- und
Wefapress Beck + Co. GmbH
PlanET Biogastechnik GmbH
Wilh. Becker GmbH & Co. KG
KUM GmbH & Co. KG
Assheuer + Pott GmbH & Co. KG
B. Braun Vorratsgesellschaft Nr. 1 GmbH
InProCoat Holding GmbH
Metallwarenfabrik Walter H. Becker GmbH
FASTEMS Systems GmbH
Thermopor Glas GmbH
TEBIT Medical Devices GmbH
W. Gröning GmbH & Co. KG
Musashi Bad Sobernheim GmbH & Co. KG
Gala Kunststoff- und Kautschukmaschinen
Masterflex SE
NIKU GmbH
Krah Pipes GmbH & Co. KG
LKS Maschinenbau GmbH
STAROFIT Klose GmbH & Co. KG
Leonhard Moll AG
SCHERDEL Wiesauplast Deutschland GmbH
IAS GmbH
EMW filtertechnik GmbH
Hermann Benkert
Herzog GmbH
HOFFMANN
Kohlstädt GmbH
Bremer Werk für Montagesysteme GmbH
HECHT Technologie GmbH
Behringer GmbH
BEHRINGER EISELE GmbH
Amandus Kahl GmbH & Co. KG
Schuster Kunststofftechnik GmbH
Georg Beilharz und Sohn GmbH & Co KG
VOSS Automotive Valves and Actuators GmbH
HAUTAU GmbH
FORMTEIL- UND SCHRAUBENWERK
Magna Mirrors Schleiz GmbH
I&L BIOSYSTEMS GmbH
Süddeutsche Bürsten- und Kunststoffabrik
Hornbad GmbH & Co. KG
Klaus Herding GmbH
Alois Beck GmbH
röntgen bender GmbH & Co. KG
KBC Fashion GmbH & Co. KG
Komatsu Forest GmbH
Bassetti (Deutschland) GmbH
PFT Flock-Technik GmbH
Loibl Förderanlagen GmbH
Robeta-Holz OHG
H+E Molding Solutions GmbH
Blohm Jung GmbH
Garant Maschinenhandel GmbH
LaVision GmbH
Fäth GmbH
Adolf Krämer GmbH & Co. KG
TREPEL Airport Equipment GmbH
ab-Apparatebau Berghaus GmbH
August Berghaus GmbH & Co. KG
Berghoff GmbH & Co. KG
PTO PolymerTechnik Ortrand GmbH
Carl Zeiss GOM Metrology GmbH
VACOM
Bergsiek Behälterbau GmbH
NovaTec Immundiagnostica GmbH
Waggonbau Graaff GmbH
Clear Edge - Germany GmbH
DIGEL Aktiengesellschaft
Bernhardt Apparatebau GmbH & Co. KG
Weimar-Werk GmbH
blomus GmbH
Schubert & Salzer GmbH
Käppler & Pausch GmbH
Mecklenburger Metallguß GmbH
J. Schmalz GmbH
