Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Schindler Handhabetechnik GmbH,https://www.schindler-handhabe.de/,Bad Königshofen im Grabfeld,212036.0,No Match
Adolf Föhl GmbH + Co. KG,https://www.foehl.de/,Rudersberg,2070607.0,80-120
Lintorfer Eisengießerei GmbH,https://www.lintorfereg.de/,Ratingen,2464283.0,80-120
G. Schürfeld GmbH,https://www.schuerfeld-gmbh.de/,Halver,2710966.0,120-200
H. Hesse,https://www.hessekaltprofile.de/,Schwerte,736834.0,15-20
Richard Stenzhorn GmbH,https://www.rst-wire.de/,Velbert,2386271.0,80-120
Bartz-Werke GmbH,https://www.bartz-heiztechnik.de/,Dillingen,2990677.0,120-200
Ernst Möschle Behälterbau GmbH,https://moeschle.com/,Ortenberg,188393.0,No Match
Busch + Kunz GmbH & Co. KG,https://www.busch-kunz.de/,Burbach,2474969.0,80-120
Lenz Kämper GmbH & Co. KG,http://www.lenzkaemper.de/,Lüdenscheid,527101.0,10-15
MetallArt GmbH,https://www.metallart-treppen.de/,Salach,1177625.0,21-40
WICKEDER PROFILE WALZWERK GmbH,http://www.wickeder-profile.de/,Wickede (Ruhr),1536834.0,60-80
Husemann & Hücking Profile GmbH,https://husemannhuecking.de/startseite,Iserlohn,552923.0,10-15
Dorstener Drahtwerke,https://dorstener-drahtwerke.de/,Dorsten,7316096.0,200-350
Saarschmiede GmbH Freiformschmiede,https://www.saarschmiede.com/ssf/de/index.shtml,Völklingen,30494.0,No Match
CASAR Drahtseilwerk Saar GmbH,https://www.casar.de/,Kirkel,4970829.0,120-200
Heuschkel Druckguß GmbH,https://www.heuschkel-druckguss.de/,Nürnberg,249688.0,No Match
Nosta GmbH,https://www.nosta.com/,Höchstädt a.d.Donau,1759093.0,60-80
Dörrenberg Edelstahl GmbH,https://www.doerrenberg.de/,Engelskirchen,8503088.0,200-350
Eisenwerk Arnstadt GmbH,https://www.ewa-guss.de/de.html,Arnstadt,1444935.0,40-60
Ostseestaal GmbH & Co. KG,http://www.ostseestaal.de/,Stralsund,1458921.0,40-60
VAUTID GmbH,https://vautidgroup.com/,Ostfildern,522316.0,10-15
DGH Heidenau GmbH & Co. KG,http://www.dghgroup.de/unternehmen.php,Dohna,12103974.0,350-600
TRIDELTA Hartferrite GmbH,https://tridelta.de/de/,Hermsdorf,700234.0,15-20
PPM-Aberle GmbH & Co KG,https://www.ppm-aberle.de/,Gutach (Schwarzwaldbahn),3568692.0,120-200
SCHAEFER GmbH,https://www.ws-schaefer.de/home/,Sigmaringen,147280.0,No Match
PS Laser GmbH & Co. KG,https://www.ps-laser.de/,Thedinghausen,4756606.0,120-200
Reinhold Mendritzki Kaltwalzwerk GmbH,https://www.mendritzki.de/,Plettenberg,18132881.0,350-600
Ritter Leichtmetallguß GmbH,https://www.ritter-leichtmetallguss.de/,Weinstadt,3364975.0,120-200
Rudolf Flender Rohr GmbH,https://www.flender-rohr.de/,Siegen,1781118.0,60-80
Saar-Hartmetall und Werkzeuge GmbH,https://www.saar-hartmetall.de/,Püttlingen,466528.0,10-15
Schmiedag GmbH,https://www.gmh-gruppe.de/de-de/gmh-gruppe/gruppen-unternehmen/schmiedag-gmbh/,Hagen,3952739.0,120-200
SHB Stahl- und Hartgusswerk Bösdorf GmbH,https://www.shb-guss.de/,Leipzig,2840489.0,120-200
Sirch Behältertechnik GmbH,https://www.sirch.com/,Löbichau,384023.0,10-15
Stahl- und Drahtwerk Röslau,https://www.roeslau-draht.com/,Röslau,1565437.0,60-80
Stahlkontor GmbH & Co KG,https://stahlkontor.com/,Hagen,1215603.0,40-60
Stahlrump GmbH & Co. KG,https://stahlrump.de/de/,Iserlohn,6237664.0,200-350
Steeltec GmbH,https://steeltec-group.com/,Düsseldorf,11541379.0,350-600
Südstahl GmbH & Co. KG,https://www.suedstahl.de/,Mertingen,1992465.0,80-120
PROGRESSIO Feinblechtechnik GmbH,https://www.progressio-feinblech.de/,Aglasterhausen,204076.0,No Match
Eisenwerk Würth GmbH,https://www.wuerth-strahlmittel.de/,Bad Friedrichshall,1650420.0,60-80
Sumitomo Electric Hartmetallfabrik GmbH,https://www.sumitomotool.com/,Lauchheim,8231064.0,200-350
Wöhrle GmbH & Co. KG,https://www.woehrle.de/de/,Wildberg,3105233.0,120-200
Drahtwerk Waidhaus GmbH,http://www.drahtwerk-waidhaus.de/,Waidhaus,17266994.0,350-600
Ernst Strassacker GmbH & Co. KG,https://www.strassacker.com/de/index,Süßen,650365.0,10-15
TPS-Technitube Röhrenwerke GmbH,https://www.tps-technitube.com/,Daun,2961471.0,120-200
König & Co. GmbH,https://www.koenig-co.de/,Netphen,6980877.0,200-350
Sachsen Guss GmbH,https://www.sachsenguss.de/,Chemnitz,17250521.0,350-600
Wilhelm Schwarz & Co. Bewehrungstechnik,http://schwarz-bewehrungstechnik.de/,Schlüsselfeld,2091350.0,80-120
Albert Hoffmann GmbH,https://albert-hoffmann.de/de/,Eschweiler,3078881.0,120-200
Eisenbau Krämer GmbH,https://www.eisenbau-kraemer.de/,Kreuztal,12535231.0,350-600
voestalpine Wire Germany GmbH,https://www.voestalpine.com/wiretechnology/,Finsterwalde,4014750.0,120-200
Vulcast Germany GmbH,https://www.vulcast.de/,Jünkerath,1257355.0,40-60
Bödenpresswerk Daaden GmbH,https://bodenpresswerk.de/,Daaden,3199113.0,120-200
Warmpresswerk Max B. Schachmann GmbH,https://www.warmpresswerk.de/,Niederstadtfeld,2144867.0,80-120
Stahlhammer Bommern GmbH,https://stahlhammer.de/,Hamm,3054967.0,120-200
Gebr. Grieshaber GmbH,http://schwarzwaldstahl.de/,Triberg im Schwarzwald,833439.0,15-20
KrampeHarex GmbH & Co. KG,https://www.krampeharex.com/,Hamm,3750472.0,120-200
Wickeder Westfalenstahl GmbH,https://www.wickeder-group.de/home.html,Wickede (Ruhr),5662257.0,200-350
GeisslerWista GmbH,https://www.gmh-gruppe.de/de-de/gmh-gruppe/wer-wir-sind/produktionsstandorte/geisslerwista-gmbh.html,Witten,4996530.0,120-200
Bender-Ferndorf Rohr GmbH,http://www.bender-ferndorf.de/de/index.php,Kreuztal,3037348.0,120-200
Gesellschaft für Wolfram-Industrie mbH,https://wolfram-industrie.de/,Traunstein,658087.0,10-15
Gabarró Deutschland GmbH,https://gabarro.eu/de/,Brandenburg an der Havel,5325509.0,200-350
Hagener Feinstahl GmbH,http://www.hagener-feinstahl.de/de/,Hagen,2172448.0,80-120
Sprint Metal Edelstahlziehereien GmbH,https://sprintmetal.schmolz-bickenbach.com/home/,Hemer,522672.0,10-15
MICROMETAL GmbH,https://www.micrometal.de/,Müllheim,511953.0,10-15
Rudolf Wiegmann Umformtechnik GmbH,https://wiegmann-gruppe.de/,Bersenbrück,3308047.0,120-200
WW-K Warmwalzwerk Königswinter GmbH,https://www.ww-k.net/,Königswinter,2020220.0,80-120
HMS Maass GmbH & Co. KG,https://www.hms-maass.de/,Kalletal,607324.0,10-15
P.G.S. Plettenberger Gesenkschmiede GmbH,https://www.georg-group.de/page/Das%20Unternehmen,Plettenberg,4638598.0,120-200
ChromStahl Stahl- und Metallhandel GmbH,https://chromstahl.de/,Garbsen,299164.0,No Match
ZGG - Zeitzer Guss GmbH,https://www.silbitz-group.com/de/zeitzer-guss-gmbh.html,Zeitz,13701876.0,350-600
