company name,location
MERKLE HOLZ-GmbH,Nersingen
Schaeferwerk Gödeke GmbH & Co. KG,Dassel
Karl Richtberg GmbH & Co. KG,Neuenburg am Rhein
Johann Sinnerbrink GmbH & Co. KG,Verl
Gebrüder Hosenfeld Sägewerk GmbH,Hosenfeld
Holzindustrie Losheim,Hellenthal
Eugen Decker Holzindustrie KG,Morbach
Josef Baust Holzbetrieb GmbH,Eslohe (Sauerland)
Klimex GmbH Thüringer Holzwerke,Nottleben
ASTA-Holzwerk GmbH,Ziemetshausen
Nordhäuser Palettenbau GmbH,Nordhausen
Bürkle Leisten & Profile GmbH,Frankenthal
Karl Streit GmbH & Co. KG Holz- und,Hausach
Westerwälder Holzpellets GmbH,Langenbach bei Kirburg
HCR Holz Centrum Regensburg GmbH,Wenzenbach
Furnierwerk Prignitz GmbH & Co. KG,Pritzwalk
Poppensieker & Derix GmbH & Co. KG,Westerkappeln
Gebrüder Heißerer,Prem
Ed. Heckewerth Nachf. GmbH u. Co. KG,Hiddenhausen
ABALON Hardwood Hessen GmbH,Schwalmstadt
H.A.S.E. Holzwerk,Hermeskeil
Franz Schmidt GmbH & Co. KG,Lichtenau
FireStixx GmbH & Co. KG,Essenbach
Sonae Arauco Beeskow GmbH,Beeskow
Mercer Timber Products GmbH,Saalburg-Ebersdorf
Holzwerk Schilling GmbH & Co. KG,Rot an der Rot
KABELTROMMEL GmbH & Co. KG,Troisdorf
