Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
NESS Wärmetechnik GmbH,https://www.ness.de/,Remshalden,252332.0,No Match
HOSOKAWA ALPINE Aktiengesellschaft,https://www.hosokawa-alpine.de/,Augsburg,7323326.0,200-350
Centrotherm Systemtechnik GmbH,https://www.centrotherm.com/Home.aspx,Brilon,5387610.0,200-350
Combé Anlagenbau GmbH,https://combe.de/,Berlin,324583.0,10-15
DOMINION Deutschland GmbH,https://www.dominion-global.com/en/,Ratingen,2173284.0,80-120
Konrad Pumpe GmbH,http://www.pumpegmbh.de/,Sendenhorst,1455929.0,40-60
TRENNSO-TECHNIK,https://www.trennso-technik.de/,Weißenhorn,1540797.0,60-80
DERICHS GmbH Verfahrenstechnik,https://derichs.de/,Übach-Palenberg,180142.0,No Match
Karl Heuft GmbH,https://www.heuft-backofenbau.de/,Bell,189270.0,No Match
ProTec Polymer Processing GmbH,https://sp-protec.com/de/,Bensheim,274227.0,No Match
TEDOM SCHNELL GmbH,https://tedom.de/,Wangen im Allgäu,191353.0,No Match
Schilling Engineering GmbH,https://schillingengineering.de/,Wutöschingen,483031.0,10-15
Züblin Chimney and Refractory GmbH,https://www.zueblin-cr.de/,Köln,417296.0,10-15
Elma Schmidbauer GmbH,https://www.elma-ultrasonic.com/,Singen (Hohentwiel),1747872.0,60-80
SenerTec,https://www.senertec.de/,Schweinfurt,1850499.0,80-120
Wilhelm Alte GmbH,https://www.alte-online.de/index.php/ger/,Plettenberg,2396083.0,80-120
Eliquo Stulz GmbH,https://www.eliquostulz.com/de/,Grafenhausen,987162.0,21-40
Schröter Technologie GmbH & Co. KG,https://www.schroeter-technologie.de/unternehmen/,Borgholzhausen,138209.0,No Match
Becton Dickinson Rowa Germany GmbH,https://rowa.de/de/apotheker,Kelberg,2684939.0,120-200
Sell GmbH,https://www.sell.gmbh/,Helmbrechts,240673.0,No Match
symex GmbH & Co. KG,https://www.symex.de/,Bremerhaven,1118936.0,21-40
IWS GmbH,https://iws-gmbh.net/,Ichenhausen,43743.0,No Match
Wolf Power Systems GmbH,https://www.wolf-ps.de/de-de,Wolfhagen,395027.0,10-15
YADOS GmbH,https://www.yados.de/,Hoyerswerda,1429136.0,40-60
