Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
CT Formpolster GmbH,https://www.ct-formpolster.de/index.php/de/,Löhne,757013.0,15-20
Murrplastik Systemtechnik GmbH,https://www.murrplastik.de,Oppenweiler,4522931.0,120-200
Dietrich Lüttgens GmbH & Co. KG,https://www.luettgens.de/,Heiligenhaus,296090.0,No Match
Trygonal Group GmbH,https://www.trygonal.com/,Sachsenheim,709198.0,15-20
OMEGA TECHNOLOGY GmbH & Co. KG,https://www.omega-technology.de/,Diepholz,1510480.0,60-80
SEALABLE Solutions GmbH,https://seal-able.com/startseite,Waltershausen,2929550.0,120-200
IPT - Pergande Gesellschaft,http://www.pergande.de/,Südliches Anhalt,4496216.0,120-200
Hörl Kunststofftechnik GmbH & Co. KG,https://www.hoerl.de/home/,Laufen,1204071.0,40-60
NOVAPAX Kunststofftechnik Steiner,https://www.novapax.de/index.php?id=home,Berlin,3586931.0,120-200
REKU Thermoforming Reckermann GmbH,https://www.reku.net/,Vlotho,1850056.0,80-120
Fibox GmbH,http://www.fibox.de/,Porta Westfalica,298526.0,No Match
Trelleborg Sealing Profiles Germany GmbH,http://www.trelleborg.com/de/sealing-profiles,Großheubach,1079940.0,21-40
Wilhelm Herm. Müller GmbH & Co. KG,,Garbsen,728715.0,15-20
AGOFORM GmbH,https://www.agoform.de//,Löhne,605465.0,10-15
CosMed GmbH & Co KG,https://www.cos-med.de/de/index.html,Löhne,6888185.0,200-350
KB Roller Tech Kopierwalzen GmbH,https://www.kbrt.de/,Bergheim,1039329.0,21-40
KWM Kunststoff- Formteile GmbH,https://kwm-kunststoffe.de/,Merklingen,39968.0,No Match
Jacob-Formschaumtechnik GmbH,http://www.jacob-formschaum.de/,Cadolzburg,3395233.0,120-200
SLS Kunststoffverarbeitungs-,https://www.sls-kunststoffprofile.de/,Dahn,730358.0,15-20
Schoplast Plastic GmbH,https://schoplast.de/,Bischofswerda,3949227.0,120-200
TechnoCompound GmbH,https://www.technocompound.com/,Bad Sobernheim,2544575.0,120-200
Vola Plast GmbH & Co. KG,https://www.volaplast.de/,Spangenberg,2020322.0,80-120
ATKA Kunststoffverarbeitung GmbH,https://www.atka.de/,Lohne (Oldenburg),2372214.0,80-120
Bänninger Kunststoff-Produkte GmbH,https://www.baenninger.de/,Reiskirchen,695450.0,10-15
AKRO-PLASTIC GmbH,https://akro-plastic.com/de/,Niederzissen,9006015.0,200-350
DS Dichtungstechnik GmbH,https://dsseals.net/de/,Nottuln,569085.0,10-15
Repac Montagetechnik GmbH & Co. KG,https://repac.de/,Gehrden,506279.0,10-15
Optibelt Material Handling GmbH,https://www.optibelt.com/de/material-handling/home/,Rinteln,1451195.0,40-60
IDT Industrie- und Dichtungstechnik,https://idt-dichtungen.de/de.phtml,Annaberg-Buchholz,3550050.0,120-200
Sauer Product GmbH,https://www.sauerproduct.com/,Dieburg,4717064.0,120-200
Weiß Kunststoffverarbeitung,https://www.weiss-kunststoff.de/,Illertissen,851062.0,15-20
Weißer + Grießhaber GmbH,https://www.weisser-griesshaber.de/startseite.html,Mönchweiler,11866507.0,350-600
Mitsubishi Chemical,https://www.mcam.com/de/,Vreden,4326801.0,120-200
HKS GmbH industrieller Hersteller von,http://www.hks-kompensatoren.de,Rostock,242401.0,No Match
Ninkaplast GmbH,https://www.ninka.com/home/,Bad Salzuflen,857659.0,15-20
ZEIBINA Kunststoff-Technik GmbH,https://zeibina.com/,Puschwitz,648321.0,10-15
F&W Frey & Winkler GmbH,https://www.freywinkler.de/index.html,Königsbach-Stein,4909642.0,120-200
Birner Kunststofftechnik GmbH,https://www.birner.de/startseite/,Kümmersbruck,2310931.0,80-120
PB-Kunststoffverarbeitung,https://www.ballerstedt.com/de/,Reinbek,654906.0,10-15
Burwinkel Kunststoffwerk GmbH,https://burwinkel-kunststoffe.de/,Steinfeld (Oldenburg),1619665.0,60-80
INOTECH Kunststofftechnik GmbH,https://www.inotech.de/,Nabburg,1473138.0,40-60
PVS-Kunststofftechnik GmbH + Co. KG,https://www.pvs-plastics.net/,Niedernhall,1011966.0,21-40
ABC Tautenhahn GmbH,http://www.abc-tautenhahn.de/,Senden,731194.0,15-20
BAUM KUNSTSTOFFE GMBH,https://www.baumkunststoffe.com/,Birkenfeld,1832292.0,80-120
Lockweiler Plastic Werke,https://www.lockweiler-werke.com/,Wadern,727680.0,15-20
FORMTECHNIK Dr. Hasel GmbH,http://ft-hasel.de/,Reichartshausen,1852987.0,80-120
Hahn Kunststoffe GmbH,https://www.hahnkunststoffe.de/,Hahn-Flughafen,2631864.0,120-200
BERGI-PLAST GmbH,https://www.bergi-plast.de/de/home/,Bad Gottleuba-Berggießhübel,1978221.0,80-120
