Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Nass Magnet GmbH.,https://www.nassmagnet.com/,Hannover,2485058.0,80-120
Günther GmbH Temperaturmesstechnik,https://www.guenther.eu/de/,Schwaig,463335.0,10-15
Instrument Systems GmbH,https://www.instrumentsystems.com/de/,München,2754582.0,120-200
DIATEST Hermann Költgen GmbH,https://www.diatest.com/,Darmstadt,2198342.0,80-120
ifm syntron gmbh Automatisierung,https://www.ifm.com/de/de,Tettnang,744210.0,15-20
FAFNIR GmbH,https://www.fafnir.com/de/,Hamburg,413746.0,10-15
Richter Chemie-Technik GmbH,https://www.richter-ct.com/de/,Kempen,5337118.0,200-350
Rechner Industrie-Elektronik GmbH,https://www.rechner-sensors.com/,Lampertheim,99633.0,No Match
Trimble Germany GmbH,https://www.trimble.com/agriculture/germany/,Raunheim,22125.0,No Match
Rössel-Messtechnik GmbH,https://www.roessel-messtechnik.de/,Dresden,294186.0,No Match
TOPTICA Photonics AG,https://www.toptica.com/,Gräfelfing,3110567.0,120-200
Plasticard-ZFT GmbH & Co. KG,https://www.plasticard.de/,Dresden,932694.0,21-40
RECKMANN GMBH,https://www.reckmann.de/,Hagen,2108761.0,80-120
Hydrotechnik GmbH,https://www.hydrotechnik.com/de/,Limburg a. d. Lahn,894000.0,15-20
Karl Deutsch Prüf- und Meßgerätebau,https://www.karldeutsch.de/?avia_forced_reroute=1,Wuppertal,68151.0,No Match
TE Connectivity Sensors Germany GmbH,http://www.te.com/deu-de/home.html,Dortmund,8984730.0,200-350
Temposonics GmbH & Co. KG,https://www.temposonics.com/de/,Lüdenscheid,1619627.0,60-80
Gesellschaft für Sonder-EDV-Anlagen mbH,https://www.gfs-hofheim.de/,Hofheim am Taunus,261241.0,No Match
MHA ZENTGRAF GmbH & Co. KG,https://www.mha-zentgraf.com/de/,Merzig,735094.0,15-20
MARTIN LOHSE GmbH,https://www.lohse-gmbh.de/,Heidenheim an der Brenz,1199123.0,21-40
Theben AG,https://www.theben.de/,Haigerloch,452914.0,10-15
SPECTRO Analytical Instruments GmbH,https://www.spectro.de/,Kleve,91701.0,No Match
Fertigungsgerätebau,https://www.fgb.de/,Salz,1580282.0,60-80
tecsis GmbH,https://www.wika.com/de-de/lp_tecsis.WIKA/,Offenbach am Main,904088.0,21-40
ASM Automation Sensorik Messtechnik GmbH,https://www.asm-sensor.com/de/,Moosinning,1530951.0,60-80
NIVUS GmbH,http://www.nivus.de/,Eppingen,63120.0,No Match
LAUDA DR. R. WOBSER GMBH & CO. KG,https://www.lauda.de/de,Lauda-Königshofen,200555.0,No Match
DESIGNA Verkehrsleittechnik GmbH,https://designa.com/,Kiel,242900.0,No Match
Thermokon-Sensortechnik GmbH,https://www.thermokon.de/,Mittenaar,1580275.0,60-80
TR-ELECTRONIC GmbH,https://www.tr-electronic.de/home,Trossingen,1448669.0,40-60
GHM Messtechnik GmbH,https://www.ghm-group.de/,Remscheid,244666.0,No Match
Kistler Remscheid GmbH,https://www.kistler.com/DE/de/anwendungen/C00000086,Remscheid,844515.0,15-20
YXLON International GmbH,https://www.yxlon.de/de/home-de,Hamburg,2678865.0,120-200
Fluke Process Instruments GmbH,https://www.flukeprocessinstruments.com,Berlin,183456.0,No Match
Kobold Messring GmbH,https://www.kobold.com/,Hofheim am Taunus,844377.0,15-20
WIPOTEC GmbH,https://www.wipotec.com/de,Kaiserslautern,6734538.0,200-350
Feig Electronic GmbH,https://www.feig.de/,Weilburg,3628745.0,120-200
KETEK GmbH,https://www.ketek.net/,München,3275857.0,120-200
SensoPart Industriesensorik GmbH,https://www.sensopart.com/de/,Wieden,758958.0,15-20
Sipos Aktorik GmbH,http://www.sipos.de/,Altdorf bei Nürnberg,30204.0,No Match
ATLAS Material Testing Technology GmbH,https://www.atlas-mts.de/,Linsengericht,323137.0,10-15
Krüss GmbH,https://www.kruss-scientific.com/,Hamburg,788935.0,15-20
Hottinger Brüel & Kjaer GmbH,https://www.hbm.com/de/,Darmstadt,5036214.0,200-350
Sikora AG,https://sikora.net/,Bremen,64254.0,No Match
Balcke-Dürr GmbH,https://balcke-duerr.com/,Düsseldorf,696212.0,10-15
Gossen Metrawatt GmbH,http://gossenmetrawatt.com,Nürnberg,391456.0,10-15
SED Flow Control GmbH,https://sed.samsongroup.com/,Bad Rappenau,1251092.0,40-60
Mitutoyo Deutschland GmbH,https://mitutoyo.de/de_de/,Neuss,74793.0,No Match
Zwick Armaturen GmbH,https://zwick-gmbh.de/,Ennepetal,1787701.0,60-80
primion Technology GmbH,https://www.primion.de/de/,Stetten am kalten Markt,67186.0,No Match
deister electronic GmbH,https://www.deister.com/de/,Barsinghausen,173200.0,No Match
Inficon GmbH,https://www.inficon.com/en,Köln,425566.0,10-15
STÜBBE GmbH & Co. KG,https://www.stuebbe.com/de/,Vlotho,2056476.0,80-120
Arca Regler GmbH,https://www.arca-valve.com/,Tönisvorst,1650293.0,60-80
TIRA GmbH,https://www.tira-gmbh.de/,Schalkau,859391.0,15-20
F.H. Papenmeier GmbH & Co. KG,https://www.papenmeier.de/de/,Schwerte,256218.0,No Match
Honeywell Messtechnik GmbH,https://www.honeywellmesstechnik.com/,Lorsch,73549.0,No Match
W. v. d. Heyde GmbH,https://www.vdh-germany.de/de/startseite,Stade,112960.0,No Match
