company_name,sachanlagen,table_name,is_teuro
Modell_Technik_Formenbau_GmbH,5531000,Aktiva,True
WKW_Verwaltung_GmbH,65862,AKTIVA,False
WOLF_Werkzeugtechnologie_GmbH,3862066,Aktiva,False
Meissner_AG_Modell-_und_Werkzeugfabrik,5503717,Aktiva,False
PASS_Stanztechnik_AG,9503362,AKTIVA,False
Barth_and_Neuffer_GmbH,41986,Aktiva,False
Claus_Bender_Werkzeugbau_GmbH_and_Co._KG,700162,Aktiva,False
Lichau_GmbH,4373593,Aktiva,False
EBZ_SE,5345034,Anlagenspiegel zum 31. Dezember 2021,False
SIEBER_Forming_Solutions_GmbH,891032,Aktiva,False
ACTech_GmbH,20463735,Aktiva,False
SANKYO_Oilless_Industry_GmbH,139385,Aktiva,False
Lehren-_und_Messgeraetewerk,2836894,Aktiva,False
Hesse_Stanzwerkzeuge_GmbH,736716,Aktiva,False
Wirtz_Werkzeugbau_GmbH,244103,Aktiva,False
S_and_S_Werkzeugbau_GmbH,2539520,Aktiva,False
ITH_Technik_GmbH,693831,Aktiva,False
Neuhaeuser_Praezisionswerkzeuge_GmbH,527475,Aktiva,False
Color_Metal_GmbH,6903899,Aktiva,False
Jonas_Werkzeugbau_Stanzerei_GmbH,860596,Aktiva,False
Kindtner_Kunststofftechnik_GmbH,1509554,Aktiva,False
Siegener_Werkzeug-_und_Haertetechnik_GmbH,80638,Aktiva,False
BKM_Praezisionswerkzeuge,1245334,Aktiva,False
Dornbusch_GmbH,2463362,Aktiva,False
Berthold_Kunrath_GmbH,1744050,Aktiva,False
CERATIZIT_Deutschland_GmbH,16481347,Aktiva,False
Beiter_GmbH_and_Co._KG,2358470,Aktiva,False
TROB_Troestler_and_Oberbauer_GmbH,907411,Aktiva,False
Modellbau_Treiber_GmbH,943772,Aktiva,False
Paul_Hafner_GmbH_Werkzeugbau,53652,Aktiva,False
Daigler_Kunststofftechnik_GmbH,1282608,Aktiva,False
Messer_Raeumtechnik_GmbH_and_Co._KG,226297,Aktiva,False
PLS_GmbH,1264354,Aktiva,False
Zeltwanger_Maschinenbau_GmbH,857279,Aktiva,False
Kingeter_GmbH_Werkzeugbau,987233,Aktiva,False
Henkel_Modellbau_GmbH,537390,Aktiva,False
Presswerkzeugbau_Grossdubrau_GmbH,4139759,Aktiva,False
H._Hahn_Modell-,1238742,Aktiva,False
FROMM_Praezision_GmbH_and_Co._KG,206907,Aktiva,False
Stefan_Pfaff_-,41799,Aktiva,False
