Firma1,URL,Ort,Top1_Machine,Maschinen_Park_Size
Molex CVS Dabendorf GmbH,https://www.molex.com,Zossen,9643447.0,200-350
Hehnke GmbH & Co. KG,https://www.hehnke.de/,Steinbach-Hallenberg,3743399.0,120-200
Alfred Heyd GmbH u. Co. KG,http://www.heyd-parts.de/,Bietigheim-Bissingen,2249190.0,80-120
Nobo Automotive Systems Germany GmbH,http://www.motusintegrated.com/,Überherrn,7930389.0,200-350
BRUSS Sealing Systems GmbH,https://www.bruss.de/,Hoisdorf,12449379.0,350-600
Sinterwerke Herne GmbH,http://www.sinterwerke.com/de/,Herne,3725279.0,120-200
Mühlhoff Umformtechnik GmbH,https://www.muehlhoff.de/index.php/de/,Uedem,10738996.0,350-600
ESKA Automotive GmbH,https://eska.net/de/unternehmen/profil.html,Chemnitz,10416886.0,350-600
Bäringhaus & Hunger GmbH,https://www.baeringhaus-hunger.de/,Grünhainichen,2452431.0,80-120
U-Shin Deutschland GmbH,https://www.u-shin-ltd.com/en/company/tabid/316/Default.aspx,Erdweg,4262435.0,120-200
Kasai (Germany) GmbH,,Wolfsburg,222410.0,No Match
ROWA Friedrich Rothmund GmbH & Co. KG,https://www.rowa-aalen.de/,Aalen,679336.0,10-15
Dr. Freist Automotive GmbH,https://www.dfa-gmbh.com/startseite/,Goslar,9824340.0,200-350
Wilhelm Kächele GmbH,https://www.w-kaechele.de/,Weilheim an der Teck,9903502.0,200-350
Eissmann Automotive Deutschland GmbH,https://www.eissmann.com/,Bad Urach,591317.0,10-15
J.H. Ziegler GmbH,https://www.ziegler.eu/home/,Achern,11351147.0,350-600
Grüner Systemtechnik GmbH & Co. KG,https://gruener-systemtechnik.de/,Bad Überkingen,21623856.0,350-600
plastic concept gmbh,https://www.plastic-concept.de/,Neusalza-Spremberg,4481788.0,120-200
Carl Wilhelm Cleff GmbH & Co. KG,https://www.cleff-wpt.de/,Wuppertal,353988.0,10-15
Feinmetall GmbH,http://www.feinmetall.de/,Herrenberg,1293839.0,40-60
Magna Car Top Systems GmbH,https://www.magna.com/capabilities/vehicle-engineering-contract-manufacturing,Bietigheim-Bissingen,348428.0,10-15
NTN Antriebstechnik GmbH,https://ntn-at.de/,Gardelegen,16355856.0,350-600
Polymer-Technik Elbe GmbH,https://www.polymertechnik.com/,Lutherstadt Wittenberg,11517831.0,350-600
JOYSONQUIN Automotive Systems GmbH,https://www.joysonquin.com/,Rutesheim,3993417.0,120-200
Sand Profile GmbH,https://www.sandprofile.de/,Stockstadt am Main,348187.0,10-15
Yanfeng International Automotive,https://www.yanfeng.com/en,Neuss,1610444.0,60-80
FEW Fahrzeugelektrik Werk GmbH & Co. KG,https://few-group.com/de/,Zwenkau,958737.0,21-40
Gates GmbH,https://www.gates.com/,Aachen,235814.0,No Match
Hubert Schlieckmann GmbH,https://www.schlieckmann.de/,Harsewinkel OT Marienfeld,457293.0,10-15
Boryszew Kunststofftechnik,https://bap.boryszew.eu/,Gardelegen,7643608.0,200-350
Feintool System Parts Obertshausen GmbH,https://www.feintool.com/,Obertshausen,8994401.0,200-350
Umformtechnik Radebeul GmbH,https://umformtechnik-alu.de/,Radebeul,902461.0,21-40
BOA Metal Solutions GmbH,https://www.boagroup.com/,Stutensee,3168577.0,120-200
Guardian Flachglas GmbH,https://www.guardianglass.com/us/en,Bitterfeld-Wolfen,42991541.0,350-600
Kromberg & Schubert GmbH & Co. KG,https://www.kromberg-schubert.com/home,Renningen,1568107.0,60-80
August Storm GmbH & Co. KG,https://www.a-storm.com/,Spelle,1232680.0,40-60
allsafe GmbH & Co. KG,https://www.allsafe-group.com/,Engen,5838454.0,200-350
helag-electronic GmbH,https://www.helag-electronic.de,Nagold,2585987.0,120-200
Wildauer Schmiede- und,https://www.gmh-gruppe.de/de-de/gmh-gruppe/gruppen-unternehmen/wsk-gmbh/,Wildau,3632773.0,120-200
ATERA GmbH,https://www.atera.de/,Leutkirch im Allgäu,113258.0,No Match
Ascorium GmbH,https://ascorium.com/,Königswinter,809379.0,15-20
Neapco Europe GmbH,https://neapco.com/,Düren,20091674.0,350-600
Wagner Automotive GmbH,https://www.beinbauer-group.de/wagner/,Kelberg,305956.0,10-15
LISI Automotive Knipping,https://www.lisi-automotive.com/en/locations/kierspe-4/,Kierspe,5528481.0,200-350
Maxion Wheels Werke GmbH,https://www.maxionwheels.com/,Königswinter,13314782.0,350-600
WALOR Vöhrenbach GmbH,https://walor.com/de/,Vöhrenbach,4178672.0,120-200
Schmiedetechnik Plettenberg,https://www.stplettenberg.de/,Plettenberg,10180044.0,350-600
AL-KO Technology Paderborn GmbH,https://www.alko-tech.com/de_de,Paderborn,119853.0,No Match
HEWI G. Winker GmbH & Co. KG,https://hewi-group.com/,Spaichingen,8649179.0,200-350
REBO Lighting & Electronics GmbH,https://www.rebo-group.de/,Eisenach,9577946.0,200-350
