company name,location
Menke-Kunststoffe GmbH & Co. KG,Warstein
Jordan Spritzgusstechnik GmbH,Iserlohn
WinWorker GmbH,Goch
Otto Männer GmbH,Bahlingen am Kaiserstuhl
Hans Keim Kunststoffe GmbH,Zimmern ob Rottweil
Thermoplastik Erich Müller GmbH,Dieburg
JACO Dr. Jaeniche GmbH & Co. KG,Kehl
DITTRICH + CO GmbH,Schwabmünchen
CT Formpolster GmbH,Löhne
H o f f m a n n GmbH,Kirchheim unter Teck
KNIPPING KUNSTSTOFFTECHNIK Gessmann GmbH,Leingarten
Murrplastik Systemtechnik GmbH,Oppenweiler
Dietrich Lüttgens GmbH & Co. KG,Heiligenhaus
LMB Kunststofftechnik GmbH,Leer
Trygonal Group GmbH,Sachsenheim
OMEGA TECHNOLOGY GmbH & Co. KG,Diepholz
SEALABLE Solutions GmbH,Waltershausen
IPT - Pergande Gesellschaft,Südliches Anhalt
Pracht Industry GmbH,Dautphetal
Hörl Kunststofftechnik GmbH & Co. KG,Laufen
NOVAPAX Kunststofftechnik Steiner,Berlin
Veeser Plastic-Werk GmbH & Co. KG,Steißlingen
formwerk GmbH & Co. KG,Neukirchen/Pleiße
egeplast International GmbH,Greven
REKU Thermoforming Reckermann GmbH,Vlotho
Fibox GmbH,Porta Westfalica
wilhelm plastic GmbH & Co. KG,Floh-Seligenthal
Trelleborg Sealing Profiles Germany GmbH,Großheubach
SONOCO Plastics Germany GmbH,Overath
Rudolf Michael GmbH,Eppingen
Profilan Kunststoffwerk GmbH & Co. KG,Legden
RS Kunststoff GmbH,Hanau
Wilhelm Herm. Müller GmbH & Co. KG,Garbsen
ARUSO-PLAST Ruoff GmbH,Schwäbisch Hall
AGOFORM GmbH,Löhne
CosMed GmbH & Co KG,Löhne
E + E Verpackungstechnik GmbH & Co. KG,Jettingen
KB Roller Tech Kopierwalzen GmbH,Bergheim
KWM Kunststoff- Formteile GmbH,Merklingen
Norsystec - Nohra-System-Technik - GmbH,Nohra
SchäferRolls GmbH & Co. KG,Renningen
Ferdinand Stükerjürgen GmbH & Co. KG,Rietberg
Jacob-Formschaumtechnik GmbH,Cadolzburg
Solidtec GmbH,Dieburg
Otto Glänzer GmbH,Solingen
SLS Kunststoffverarbeitungs-,Dahn
Schoplast Plastic GmbH,Bischofswerda
Plastimat GmbH,Oranienburg
TechnoCompound GmbH,Bad Sobernheim
ELCO GmbH,Gütersloh
Heute + Comp. GmbH + Co,Radevormwald
Vola Plast GmbH & Co. KG,Spangenberg
ATKA Kunststoffverarbeitung GmbH,Lohne (Oldenburg)
WSF Kunststofftechnik GmbH,Eppingen
Si - Tech Singer GmbH,Dornstetten
APD Schlauchtechnik GmbH,Viersen
HG Hans Geiger Spritzgießtechnik GmbH,Nürnberg
Karl Späh GmbH & Co. KG,Scheer
Bänninger Kunststoff-Produkte GmbH,Reiskirchen
AKRO-PLASTIC GmbH,Niederzissen
DS Dichtungstechnik GmbH,Nottuln
Stumptner GmbH,Wilhelmsdorf
AS Strömungstechnik GmbH,Ostfildern
Joh. Sieben GmbH,Heinsberg
Hiri Hildebrand und Richter & Co,Kirchgellersen
Repac Montagetechnik GmbH & Co. KG,Gehrden
Tolges-Kunststoffverarbeitung,Warburg
PLIXXENT GmbH & Co. KG,Oldenburg
Optibelt Material Handling GmbH,Rinteln
IDT Industrie- und Dichtungstechnik,Annaberg-Buchholz
Dipl.-Ing. Dr. Ernst Vogelsang,Herten
Norditec - Antriebstechnik GmbH,Neu Gülze
Sauer Product GmbH,Dieburg
KUTEC Kunststoff-Vertriebs-GmbH,Mertingen
senne products GmbH,Hövelhof
Haller Kunststofftechnik GmbH,Rodgau
Kleinmontagen Wiechmann GmbH,Grabow
Weiß Kunststoffverarbeitung,Illertissen
Weißer + Grießhaber GmbH,Mönchweiler
Mitsubishi Chemical,Vreden
sinit kunststoffwerke gmbh & co. kg,Rödental
Freudenberg Industrial Services GmbH,Hamburg
Scobalitwerk Wagner GmbH,Schutterwald
HKS GmbH industrieller Hersteller von,Rostock
Lippstädter Hartschaumverarbeitung GmbH,Anröchte
Ninkaplast GmbH,Bad Salzuflen
Wüllner & Kaiser GmbH & Co. KG,Sundern (Sauerland)
Wünning Kunststoffbearbeitung GmbH,Diepholz
ZEIBINA Kunststoff-Technik GmbH,Puschwitz
Weber & Zick GmbH,Teningen
GAUDLITZ GMBH,Coburg
F&W Frey & Winkler GmbH,Königsbach-Stein
Birner Kunststofftechnik GmbH,Kümmersbruck
ARTHUR KRÜGER GmbH,Barsbüttel
PB-Kunststoffverarbeitung,Reinbek
Saint-Gobain Performance Plastics,Wertheim
KWO Kunststoffteile GmbH,Offenau
Burwinkel Kunststoffwerk GmbH,Steinfeld (Oldenburg)
INOTECH Kunststofftechnik GmbH,Nabburg
PVS-Kunststofftechnik GmbH + Co. KG,Niedernhall
KURO Kunststoffe GmbH,Edewecht
Otto Haas KG,Nürnberg
Klaus Kunststofftechnik GmbH,Aitrach
ABC Tautenhahn GmbH,Senden
BAUM KUNSTSTOFFE GMBH,Birkenfeld
Lockweiler Plastic Werke,Wadern
FORMTECHNIK Dr. Hasel GmbH,Reichartshausen
Hahn Kunststoffe GmbH,Hahn-Flughafen
Kläger Spritzguss GmbH & Co. KG,Dornstetten
Ernst Bechtold & Sohn e.K.,Oberzent OT Beerfelden
BERGI-PLAST GmbH,Bad Gottleuba-Berggießhübel
Bada AG,Bühl
BaS Kunststoffverarbeitung GmbH,Eslarn
brill + adloff Formen- und,Lennestadt
bomo trendline Technik GmbH,Hardt
Dürr Kunststofftechnik GmbH & Co. KG,Schöntal
qtec Kunststofftechnik GmbH Quedlinburg,Quedlinburg
Hunold + Knoop Kunststofftechnik GmbH,Geseke
Isowa GmbH Isolier- und Abdichtprodukte,Freudenberg
Kunststoff Christel GmbH & Co. KG,Bad Dürrheim
Lahme GmbH & Co. KG,Kierspe
Egon Nesper GmbH & Co. KG,Ispringen
Weber Kunststofftechnik GmbH,Waidhaus
SLM Kunststofftechnik GmbH,Oebisfelde-Weferlingen
Müller Formenbau,Fronreute
Reiss Kunststofftechnik GmbH,Tettnang
Gebr. Schwarz GmbH,Rottweil
Deller Plastics Uwe Braselmann,Breckerfeld
Erhard Hippe KG,Spremberg
Becker Plastics GmbH,Datteln
Gehr GmbH,Mannheim
Mitras Composites Systems GmbH,Radeburg
Reinert Kunststofftechnik GmbH & Co. KG,Bissingen an der Teck
Karl Heß GmbH und Co. KG,Burbach
Kunststofftechnik Backhaus GmbH,Kierspe
giwa GmbH,Westendorf
Zuber GmbH,Röthenbach (Allgäu)
Schmid GmbH Kunststofftechnik,Obergünzburg
Mitschke GmbH Co. Kunststoffwerk KG,Eggenthal
Valder GmbH & Co. KG,Kreuzau
Appelt + Witt,Saalburg-Ebersdorf
Ring-Plastik Pechler GmbH,Altomünster
Liedtke Kunststofftechnik GmbH,Markt Indersdorf
Erich Rothe GmbH & Co. KG,Kitzingen
GEPE Geimuplast GmbH,Farchant
STEWO Kunststoffverarbeitung,Helmbrechts
MMH Kunststofftechnik GmbH,Battenberg (Eder)
Gerdes Kunststoff-Technik GmbH,Extertal
Friedrichs & Rath GmbH,Extertal
Hilti Kunststofftechnik GmbH,Nersingen
Röchling Medical Waldachtal AG,Waldachtal
Ottensteiner Kunststoff GmbH & Co. KG,Ahaus
