company name
Steeltec GmbH
Mannesmann Grossrohr GmbH
Wickeder Westfalenstahl GmbH
Julius Schüle Druckguss GmbH
Metallwerk Sundern
Betafence GmbH
ESW Röhrenwerke GmbH
Vornbäumen Stahlseile GmbH & Co. KG
Dossmann GmbH
Filigran Trägersysteme GmbH & Co. KG
KÖBO GmbH & Co. KG
Haller Industriebau GmbH
fischer Hydroforming GmbH
Glave Gruppe GmbH
Vulcast Germany GmbH
Leonhard Breitenbach GmbH
Dillenberg GmbH & Co. KG
G ü l d e GmbH & Co KG Kaltwalzwerk
WW-K Warmwalzwerk Königswinter GmbH
SHB Stahl- und Hartgusswerk Bösdorf GmbH
Power-Cast Zitzmann GmbH & Co. KG
voestalpine Wire Germany GmbH
DWK Drahtwerk Köln GmbH
Hüntelmann GmbH & Co. KG
H. Hüttenbrauck Profil GmbH
Z & J Technologies GmbH
Sumitomo Electric Hartmetallfabrik GmbH
Isselburg Guß- und Bearbeitung GmbH
TPS-Technitube Röhrenwerke GmbH
Stahlkontor GmbH & Co KG
Kemper GmbH
Schmiedag GmbH
König Metall GmbH & Co. KG
Schwering & Hasse Elektrodraht GmbH
Warmpresswerk Max B. Schachmann GmbH
Badische Drahtwerke GmbH
Mankenberg GmbH
Gebhardt - Stahl - GmbH
Schmid GmbH
Ervin Germany GmbH
Peter Petrusky Stahlbau
W. Pilling Kesselfabrik GmbH & Co. KG
PHILIPP GmbH
Lebronze Alloys Germany GmbH
BRUGG Rohrsysteme GmbH
Deutsche Nickel GmbH
Flanschenwerk Bebitz GmbH
Platestahl Umformtechnik GmbH
Silbitz Group Torgelow GmbH
Esterer Aktiengesellschaft
EZM Edelstahlzieherei Mark GmbH
G. Schürfeld GmbH
Bartz-Werke GmbH
Ritter Leichtmetallguß GmbH
ZGG - Zeitzer Guss GmbH
Carl Stahl GmbH
Salzgitter Mannesmann Stahlservice GmbH
KRS - SEIGERT GmbH
MetallArt GmbH
Gustav Wolf GmbH
THÖNE Metallwaren GmbH & Co. KG
Drahtwerk Elisental
StrikoWestofen GmbH
PPM-Aberle GmbH & Co KG
Dillinger Fabrik
Saar-Hartmetall und Werkzeuge GmbH
FRANK Walz- und Schmiedetechnik GmbH
Heidenreich & Harbeck GmbH
Stahlrump GmbH & Co.KG
Ostseestaal GmbH & Co. KG
Heibi-Metall Birmann GmbH
Stahl- und Drahtwerk Röslau
Nosta GmbH
Max Schön GmbH
Hubl GmbH
Kemptener Eisengießerei Adam Hönig AG
RSB Rationelle
PS Laser GmbH & Co. KG
PRÄZI-FLACHSTAHL Aktiengesellschaft
Georg Group GmbH
EEW-Bergrohr GmbH
Rudolf Flender Rohr GmbH
Reinhold Mendritzki Kaltwalzwerk GmbH
UBB Umformtechnik GmbH
Südstahl GmbH & Co. KG
König & Co. GmbH
Albert Hoffmann GmbH
Karl Buch Walzengiesserei GmbH & Co. KG
Spieß GmbH
Senger GmbH
Chr. Höver & Sohn GmbH & Co. KG
BRUGG German Pipe GmbH
Sirch Behältertechnik GmbH
Heinz Gothe GmbH & Co. KG
Auerhammer Metallwerk GmbH
